,X_coord,Y_coord,bandgap
0,185,386,2.3857433250809468
1,185,387,2.4041115294211175
2,186,385,2.4076151109484334
3,186,386,2.407499302303335
4,186,387,2.390801345446747
5,186,388,2.4089791113743213
6,187,384,2.391691451045338
7,187,385,2.3947502625442607
8,187,386,2.3943535132870157
9,187,387,2.388030021895463
10,187,388,2.4064381414887746
11,187,389,2.397492838390064
12,188,383,2.393983715521314
13,188,384,2.390441028626042
14,188,385,2.3536091805827284
15,188,386,2.3991335941330076
16,188,387,2.3923207104439257
17,188,388,2.402880283791323
18,188,389,2.3916884474648143
19,189,382,2.3869292395950414
20,189,383,2.3868660054490007
21,189,384,2.3827090669597597
22,189,385,2.3940490650772572
23,189,386,2.3991272053533765
24,189,387,2.3983427392040517
25,189,388,2.389399985424545
26,189,389,2.3893005679271786
27,189,390,2.382009533904047
28,190,381,2.3878474816556734
29,190,382,2.4106445256116533
30,190,383,2.417562985496263
31,190,384,2.4158533361312244
32,190,385,2.4021290728930538
33,190,386,2.3824009589980992
34,190,387,2.383922894435174
35,190,388,2.3961681827393635
36,190,389,2.413452627279418
37,190,390,2.3659885716627347
38,191,380,2.3863772689240768
39,191,381,2.4186401003393785
40,191,382,2.4113193449466923
41,191,383,2.411655261603864
42,191,384,2.4109156721148666
43,191,385,2.4107790417045964
44,191,386,2.3912629052628085
45,191,387,2.3811251668558153
46,191,388,2.371265115366421
47,191,389,2.38370141877645
48,191,390,2.4130278074749265
49,191,391,2.3814335563036417
50,192,380,2.4009313189480643
51,192,381,2.416815772779888
52,192,382,2.421311038534768
53,192,383,2.417917337148353
54,192,384,2.3942900121913304
55,192,385,2.398517458228972
56,192,386,2.3999533904946384
57,192,387,2.4131978625047203
58,192,388,2.3694376903159404
59,192,389,2.401894884361623
60,192,390,2.378806921122445
61,192,391,2.3575174520746858
62,193,379,2.4208822786717485
63,193,380,2.388174405499124
64,193,381,2.402537119171552
65,193,382,2.4252636156132166
66,193,383,2.411113295675273
67,193,384,2.378873872165917
68,193,385,2.377734008142548
69,193,386,2.429382646721405
70,193,387,2.386435659933719
71,193,388,2.3820343035074596
72,193,389,2.407097093878103
73,193,390,2.3959079270773307
74,193,391,2.410638769517465
75,193,392,2.361720811215887
76,194,379,2.3940013721641327
77,194,380,2.391465200734961
78,194,381,2.4139452021991206
79,194,382,2.4218189603305604
80,194,383,2.3953657290253143
81,194,384,2.417490419925817
82,194,385,2.3991903646407384
83,194,386,2.4173457169789625
84,194,387,2.3863848862663115
85,194,388,2.3809862111496614
86,194,389,2.404470677267109
87,194,390,2.383997418737149
88,194,391,2.3865713856969735
89,194,392,2.404490857029757
90,195,378,2.4236592986054495
91,195,379,2.403304399353204
92,195,380,2.3850882105266504
93,195,381,2.409214693545091
94,195,382,2.4127339799728134
95,195,383,2.4173679642585233
96,195,384,2.405652615506399
97,195,385,2.4293427224148973
98,195,386,2.3982949383567216
99,195,387,2.3896277594747586
100,195,388,2.3886984131454665
101,195,389,2.4036311142861186
102,195,390,2.4041939310625855
103,195,391,2.406014689321719
104,195,392,2.4205236043027387
105,196,378,2.42246704486747
106,196,379,2.3841494739881597
107,196,380,2.4015955467559245
108,196,381,2.4059396636202877
109,196,382,2.3845221740623077
110,196,383,2.410926694496983
111,196,384,2.41203301882426
112,196,385,2.401946511552184
113,196,386,2.3962582378202715
114,196,387,2.3920316550673184
115,196,388,2.3800989226962583
116,196,389,2.386540615388702
117,196,390,2.4189029478004347
118,196,391,2.396452776859283
119,196,392,2.4076596591003345
120,197,377,2.437008988072999
121,197,378,2.4181448707390563
122,197,379,2.416697991890498
123,197,380,2.4075993910573734
124,197,381,2.4201183181460895
125,197,382,2.4177937066204835
126,197,383,2.4196489100241387
127,197,384,2.4012035886563914
128,197,385,2.4156004781048597
129,197,386,2.3929869125156005
130,197,387,2.3742490292599423
131,197,388,2.3706440633448294
132,197,389,2.396747934465055
133,197,390,2.3927972516633784
134,197,391,2.3963693816762786
135,197,392,2.3995055806564296
136,198,377,2.4330054324402886
137,198,378,2.428811238636351
138,198,379,2.413993767964403
139,198,380,2.4059689707828187
140,198,381,2.415881265918271
141,198,382,2.409937130885117
142,198,383,2.3982744306439736
143,198,384,2.4054007202254053
144,198,385,2.4185435238903468
145,198,386,2.3919865501747735
146,198,387,2.389563944988265
147,198,388,2.3899920422118623
148,198,389,2.379180247751531
149,198,390,2.387646864646702
150,198,391,2.403015472012654
151,198,392,2.3856246205414493
152,199,377,2.4492985305499935
153,199,378,2.4243799961638857
154,199,379,2.4071043617862773
155,199,380,2.416376746711653
156,199,381,2.38718717283382
157,199,382,2.4199655406193368
158,199,383,2.376272659422292
159,199,384,2.3948756665790003
160,199,385,2.3649816625641007
161,199,386,2.4088372364017743
162,199,387,2.3853505067664416
163,199,388,2.4095208867553004
164,199,389,2.383562466662821
165,199,390,2.3952490048811064
166,199,391,2.3840908276582597
167,199,392,2.3650979658174522
168,200,378,2.41362696937397
169,200,379,2.409335951817892
170,200,380,2.397667551189201
171,200,381,2.377479837814427
