,X_coord,Y_coord,bandgap
0,425,450,2.228116511207431
1,425,451,2.227153601635257
2,425,452,2.2364610238697127
3,425,453,2.2504732107259895
4,426,448,2.219103773374835
5,426,449,2.221549684548325
6,426,450,2.243562645324149
7,426,451,2.2518494329694114
8,426,452,2.2584055499427484
9,426,453,2.2574516644084617
10,426,454,2.2447344466386254
11,426,455,2.259468596267676
12,426,456,2.2609261666376153
13,427,446,2.213813367327403
14,427,447,2.214668255103206
15,427,448,2.220112859390087
16,427,449,2.225013316674565
17,427,450,2.2428558385324853
18,427,451,2.245729580561992
19,427,452,2.2633324587519157
20,427,453,2.2595390798322783
21,427,454,2.2562064563580964
22,427,455,2.258903043932648
23,427,456,2.2545736658631
24,427,457,2.2486288515513784
25,428,445,2.1997072247799587
26,428,446,2.202631084118739
27,428,447,2.2116898004598093
28,428,448,2.2134471275206185
29,428,449,2.2170084733202025
30,428,450,2.220340455739226
31,428,451,2.2420249136179797
32,428,452,2.241441926373137
33,428,453,2.2574055372603157
34,428,454,2.2628882785434383
35,428,455,2.268180157670044
36,428,456,2.2601499685070916
37,428,457,2.249772115771295
38,428,458,2.2569342955313423
39,429,444,2.1916221606140476
40,429,445,2.1973063548451077
41,429,446,2.200756057413493
42,429,447,2.2071741459359755
43,429,448,2.2155331256019037
44,429,449,2.219229857224561
45,429,450,2.222396680945634
46,429,451,2.2270638568877956
47,429,452,2.231029989020911
48,429,453,2.242016459902193
49,429,454,2.2539626600662754
50,429,455,2.2651295516637977
51,429,456,2.2624675301664663
52,429,457,2.26396459948785
53,429,458,2.2497508758872677
54,429,459,2.2521692200816026
55,430,444,2.193390710567109
56,430,445,2.1908148805459136
57,430,446,2.207113426163989
58,430,447,2.2134917250710244
59,430,448,2.217414860847856
60,430,449,2.2235325148658553
61,430,450,2.2147130418414007
62,430,451,2.2191933416533227
63,430,452,2.245526218557972
64,430,453,2.254182899659901
65,430,454,2.245199751407316
66,430,455,2.2580535662489245
67,430,456,2.269833151064683
68,430,457,2.261952276194025
69,430,458,2.251338756275092
70,430,459,2.250980712746741
71,431,443,2.184335955705168
72,431,444,2.1954592531535653
73,431,445,2.2072071937930833
74,431,446,2.2146331202150202
75,431,447,2.2225225271285236
76,431,448,2.242716588848467
77,431,449,2.2465735490782865
78,431,450,2.2276738527688993
79,431,451,2.2170721815669276
80,431,452,2.2401440017954792
81,431,453,2.2510690242214175
82,431,454,2.246504296014665
83,431,455,2.257630262406567
84,431,456,2.268533544534428
85,431,457,2.263028987003758
86,431,458,2.244245512097883
87,431,459,2.25646096663785
88,431,460,2.2270374424089816
89,432,443,2.1952115656107356
90,432,444,2.2021441088882803
91,432,445,2.21615394522483
92,432,446,2.2249278864399678
93,432,447,2.2439531963094974
94,432,448,2.2444329333682393
95,432,449,2.25517796281105
96,432,450,2.24870160087059
97,432,451,2.221252361676171
98,432,452,2.2230216734134247
99,432,453,2.251706876922597
100,432,454,2.25911381061707
101,432,455,2.253443266195436
102,432,456,2.2698475669838722
103,432,457,2.2721966917378853
104,432,458,2.251924657316355
