,X_coord,Y_coord,bandgap
0,187,135,2.4743798700059276
1,187,136,2.4743582503637804
2,187,137,2.4965615583685468
3,187,138,2.477286765169965
4,187,139,2.4690258487150913
5,187,140,2.464570435540619
6,188,133,2.499088814406419
7,188,134,2.5038634344956128
8,188,135,2.4779285334065317
9,188,136,2.4817714498152386
10,188,137,2.473750299150058
11,188,138,2.47186351046808
12,188,139,2.4750042155077745
13,188,140,2.471861272592598
14,188,141,2.46789621477901
15,188,142,2.4872805741549566
16,189,131,2.4816207562442143
17,189,132,2.47942820927204
18,189,133,2.498013071784457
19,189,134,2.4836182974002194
20,189,135,2.4814361343474367
21,189,136,2.495602357255647
22,189,137,2.475843440819697
23,189,138,2.470058561968881
24,189,139,2.4743558452068193
25,189,140,2.477371289853372
26,189,141,2.4700945024725303
27,189,142,2.494451785361225
28,189,143,2.466672335605556
29,190,130,2.5014925891081425
30,190,131,2.4951746137369533
31,190,132,2.482517530277485
32,190,133,2.504511801789046
33,190,134,2.505551883173305
34,190,135,2.490675772282187
35,190,136,2.4918417526509677
36,190,137,2.4762357132417283
37,190,138,2.470327337871704
38,190,139,2.476977738354005
39,190,140,2.4685882030522848
40,190,141,2.4720478044676777
41,190,142,2.4636147187025705
42,190,143,2.463710416120361
43,190,144,2.4670861788294967
44,191,129,2.4830423181999413
45,191,130,2.4803173451519718
46,191,131,2.499009561125962
47,191,132,2.4889275033748888
48,191,133,2.4982385213097276
49,191,134,2.492531508520283
50,191,135,2.493150270501922
51,191,136,2.499964449389089
52,191,137,2.495187573461704
53,191,138,2.4770258619905676
54,191,139,2.471160890138507
55,191,140,2.4772533016356597
56,191,141,2.476565981333897
57,191,142,2.46751703831202
58,191,143,2.4735765992012078
59,191,144,2.4827954018434717
60,191,145,2.4641130189170464
61,192,129,2.496944003836095
62,192,130,2.474250811103549
63,192,131,2.471652148779198
64,192,132,2.4717723364928865
65,192,133,2.4973815120314113
66,192,134,2.5237094612952156
67,192,135,2.5031321404393374
68,192,136,2.494979968206915
69,192,137,2.4914455950004895
70,192,138,2.4729976899353865
71,192,139,2.476651679299501
72,192,140,2.4728564796204666
73,192,141,2.469174786191615
74,192,142,2.4630660420522164
75,192,143,2.4663182712777854
76,192,144,2.4604110579685856
77,192,145,2.461332380218392
78,193,128,2.498781282168519
79,193,129,2.5114856712554303
80,193,130,2.4899813544833496
81,193,131,2.4609127872024916
82,193,132,2.4852598062146245
83,193,133,2.47030926283749
84,193,134,2.498845025265391
85,193,135,2.4808047755763685
86,193,136,2.4643778467839725
87,193,137,2.4765883807807354
88,193,138,2.473017724036315
89,193,139,2.501463479361645
90,193,140,2.472737799967201
91,193,141,2.473737996541135
92,193,142,2.465550846711973
93,193,143,2.4602537668137408
94,193,144,2.4617997869154014
95,193,145,2.4498392791816785
96,193,146,2.4498527267874235
97,194,128,2.4795700988203206
98,194,129,2.5016153128662406
99,194,130,2.4797262366156447
100,194,131,2.4940029526273597
101,194,132,2.4809862889999645
102,194,133,2.480401608941003
103,194,134,2.4991225234494543
104,194,135,2.49463601481765
105,194,136,2.467110846625822
106,194,137,2.4745277343733156
107,194,138,2.5059030807668083
108,194,139,2.493361761118726
109,194,140,2.4710936809051773
110,194,141,2.4695274403457264
111,194,142,2.460594837455034
112,194,143,2.4600902852958497
113,194,144,2.478079498813917
114,194,145,2.452654267603546
115,194,146,2.4495157245106025
116,195,128,2.496956368945464
117,195,129,2.5018760701994305
118,195,130,2.4994636133179347
119,195,131,2.491594635200154
120,195,132,2.4729399394536986
121,195,133,2.4649505925770145
122,195,134,2.4719839272651654
123,195,135,2.4950998507770286
124,195,136,2.4914488034972986
125,195,137,2.5150791943713124
126,195,138,2.5075599749053916
127,195,139,2.4933090880614537
128,195,140,2.473011305897827
129,195,141,2.4678165564067616
130,195,142,2.466260697215344
131,195,143,2.463872268285214
132,195,144,2.4624115546028666
133,195,145,2.4458871144038143
134,195,146,2.4365748653195904
135,196,128,2.4918199936897434
136,196,129,2.5000378577030102
137,196,130,2.4909163849530707
138,196,131,2.4979459602081793
139,196,132,2.499520761664801
140,196,133,2.4862008142579315
141,196,134,2.4817418351173246
142,196,135,2.4961481060667667
143,196,136,2.495443293048017
144,196,137,2.502440368509685
145,196,138,2.510576223274398
146,196,139,2.4703057363810377
147,196,140,2.471585620041925
148,196,141,2.472548272982833
149,196,142,2.466032605522893
150,196,143,2.460582625000821
151,196,144,2.4596869105304133
152,196,145,2.453617096086924
153,197,128,2.502412191393967
154,197,129,2.5014766272338207
155,197,130,2.510729937751309
156,197,131,2.498876390843277
157,197,132,2.508886090691157
158,197,133,2.503780698943618
159,197,134,2.4763717746064895
160,197,135,2.494468640700046
161,197,136,2.51192265487481
